keypoint_th,min_abs_match,match_ratio_th,precision,recall,balanced,FN,FP,TN,TP
0.037,21,0.4782608695652174,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.4816053511705686,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.48494983277591974,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.4882943143812709,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.4916387959866221,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.49498327759197325,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.4983277591973244,1.0,0.009900990099009901,0.504950495049505,100,0,1395,1
0.037,21,0.5016722408026756,1.0,0.019801980198019802,0.5099009900990099,99,0,1395,2
0.037,21,0.5050167224080268,1.0,0.019801980198019802,0.5099009900990099,99,0,1395,2
0.037,21,0.5083612040133779,1.0,0.019801980198019802,0.5099009900990099,99,0,1395,2
0.037,21,0.5117056856187291,1.0,0.019801980198019802,0.5099009900990099,99,0,1395,2
0.037,21,0.5150501672240803,1.0,0.019801980198019802,0.5099009900990099,99,0,1395,2
0.037,21,0.5183946488294314,1.0,0.019801980198019802,0.5099009900990099,99,0,1395,2
0.037,21,0.5217391304347826,1.0,0.019801980198019802,0.5099009900990099,99,0,1395,2
0.037,21,0.5250836120401338,1.0,0.019801980198019802,0.5099009900990099,99,0,1395,2
0.037,21,0.5284280936454849,1.0,0.019801980198019802,0.5099009900990099,99,0,1395,2
0.037,21,0.5317725752508361,1.0,0.019801980198019802,0.5099009900990099,99,0,1395,2
0.037,21,0.5351170568561873,1.0,0.019801980198019802,0.5099009900990099,99,0,1395,2
0.037,21,0.5384615384615384,1.0,0.019801980198019802,0.5099009900990099,99,0,1395,2
0.037,21,0.5418060200668896,1.0,0.019801980198019802,0.5099009900990099,99,0,1395,2
0.037,21,0.5451505016722408,1.0,0.019801980198019802,0.5099009900990099,99,0,1395,2
0.037,21,0.5484949832775919,1.0,0.019801980198019802,0.5099009900990099,99,0,1395,2
0.037,21,0.5518394648829431,1.0,0.019801980198019802,0.5099009900990099,99,0,1395,2
0.037,21,0.5551839464882943,1.0,0.019801980198019802,0.5099009900990099,99,0,1395,2
0.037,21,0.5585284280936454,1.0,0.019801980198019802,0.5099009900990099,99,0,1395,2
0.037,21,0.5618729096989966,1.0,0.019801980198019802,0.5099009900990099,99,0,1395,2
0.037,21,0.5652173913043478,1.0,0.019801980198019802,0.5099009900990099,99,0,1395,2
0.037,21,0.568561872909699,1.0,0.019801980198019802,0.5099009900990099,99,0,1395,2
0.037,21,0.5719063545150501,1.0,0.019801980198019802,0.5099009900990099,99,0,1395,2
